Run	Cell	Barcode	Species	s4U	Time	ActD	Group	CellLine	Stage	Platform	Label	UMI	Cells	LibStruct	Remark	Cell.Reads	Trimmed.Reads	Trimmed.Ratio	Mapped.Reads	Mapped.Ratio	Mito.Ratio	Filtered.Reads	Filtered.Ratio	FilteredClip.Reads	FilteredClip.Ratio	UMIs	UMIs.2Reads	Duplicate.Reads	Duplicate.Ratio	Unique.Reads	Genes	Isoforms.Assembled	Isoforms.Known	AC.Ratio	AG.Ratio	AT.Ratio	CA.Ratio	CG.Ratio	CT.Ratio	GA.Ratio	GC.Ratio	GT.Ratio	TA.Ratio	TC.Ratio	TG.Ratio	Pe	Pc	Pc_Pe	UMIs.2Reads.Nascent.2TCs	UMIs.2Reads.Nascent.2TCs.Ratio	Genes.2Reads	Genes.2Reads.Nascent.2TCs
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C01	2	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc1_2	306752.0	221571.0	0.7223131389526393	221298.0	0.9987678892995924	0.0694509182436841	189658.0	0.8570253685076232	180589.0	0.952182349281338	12136.0	7385.0	168453.0	0.932797678706898	12136.0	3116.0	3635.0	3466.0	3.036066410607913e-05	0.0001276177067509	3.7050301959960975e-05	3.0741107722879895e-05	2.195793408777135e-05	0.000172369782589	0.00011500922146	8.288952898025157e-05	8.340758853637814e-05	7.83568942833988e-05	0.0001249326706056	7.068558994796116e-05	0.0001502024342737			13.0	0.0017603249830737	2684.0	10.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C02	9	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc2_1	270459.0	207331.0	0.766589390628524	204956.0	0.9885448871611096	0.113397453682296	172563.0	0.8419514432365971	164087.0	0.9508817069707874	11612.0	6810.0	152475.0	0.9292326631603968	11612.0	2461.0	2797.0	2649.0	2.247054376072308e-05	0.0001744771633185	5.088917263457873e-05	2.9621816106320645e-05	2.5286916188322503e-05	0.0002095201627032	0.0001475740160624	9.72170058421126e-05	0.0001202973021931	0.0001221607072144	0.0001743192114183	0.0001029444161919	0.0002070599154768	0.0001746926000913	0.8436814034673622	13.0	0.0019089574155653	2064.0	9.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C03	11	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc2_3	457742.0	336726.0	0.7356239977978861	336011.0	0.9978766118446452	0.1073296414649244	266779.0	0.7939591263381258	252056.0	0.9448119979458652	19800.0	12118.0	232256.0	0.9214460278668232	19800.0	3779.0	4864.0	4483.0	3.090777448898598e-05	0.0001982700852857	5.129375340725333e-05	3.1624727742351137e-05	4.118569194352706e-05	0.0002246826587276	0.0001722899819577	0.0001202584074065	0.0001485139644476	0.0001387194993141	0.000242583083826	0.0001341424599966	0.0002520687893826	0.0002479772784796	0.9837682764573056	38.0	0.0031358309952137	3269.0	20.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C04	13	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc2_5	408885.0	243095.0	0.5945314697286523	240745.0	0.9903329973878524	0.1617621129839904	190166.0	0.7899063324264263	182797.0	0.961249645046959	12794.0	7450.0	170003.0	0.9300097922832432	12794.0	2915.0	3366.0	3140.0	3.221666499421684e-05	0.0002096723934869	5.862376744849294e-05	3.678510084754059e-05	3.3818560456609894e-05	0.0002521559332291	0.0002312915745173	0.0001173632989506	0.0001706061614014	0.0001645860250006	0.000289671404001	0.0001437384618338	0.0002857565679075	0.0002932446910814	1.026204553157721	37.0	0.0049664429530201	2391.0	23.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C05	14	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc2_6	262451.0	198205.0	0.755207638759235	197982.0	0.9988749022476728	0.072766781861975	177083.0	0.8944398985766383	166834.0	0.9421231851730544	14183.0	8420.0	152651.0	0.9149873526978912	14183.0	3406.0	4135.0	3915.0	4.425847763018185e-05	0.0002221044703092	5.887595648051713e-05	2.8279451252959243e-05	3.770593500394566e-05	0.0002226445685947	0.0001712975514601	0.000132385515079	0.0001412676103399	0.0001601175123307	0.0002484432052741	0.0001527207794242	0.0002705784796215			42.0	0.0049881235154394	2837.0	27.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C06	23	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc3_7	327347.0	229644.0	0.7015307914842659	229354.0	0.9987371758025464	0.0707162905323688	203620.0	0.887797901933256	191934.0	0.942608781062764	16832.0	9921.0	175102.0	0.912303187554055	16832.0	3583.0	4740.0	4170.0	3.282111398839194e-05	0.0004004838959391	6.100085832185976e-05	3.511042417167714e-05	4.492624168203849e-05	0.0002114176079154	0.000167359279329	0.0001146393372147	0.0001351611938767	0.0001157359770385	0.00025187525702	0.0001136252905272	0.0002262814721427			67.0	0.0067533514766656	3020.0	29.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C07	24	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc3_8	354637.0	255021.0	0.7191043235759382	254697.0	0.9987295163927676	0.1558718472845408	201111.0	0.7896088293148329	186518.0	0.9274380814575036	17990.0	10233.0	168528.0	0.9035481830171886	17990.0	3547.0	4413.0	4020.0	2.314262949495068e-05	0.0002134264720089	6.171367865320182e-05	3.374312483831419e-05	3.2012708179939107e-05	0.000231010623893	0.0001813881002002	0.0001480719185308	0.0002035988879798	0.0001937632733586	0.000285283870854	0.0001612141068853	0.0003176328201069	0.0002875609382822	0.90532501706033	50.0	0.0048861526434085	2936.0	44.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C08	26	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc4_2	359718.0	260867.0	0.7251986278140099	260659.0	0.9992026588261452	0.0864990131041332	217986.0	0.8362880238165573	203039.0	0.93143137632692	12063.0	7263.0	190976.0	0.9405877688522896	12063.0	2911.0	3834.0	3287.0	4.103241611530413e-05	0.0004650340493067	8.662398957675316e-05	6.040429457276042e-05	5.004927264600149e-05	0.0002306868773683	0.0001584113176804	0.0001039911031031	0.000136319943446	0.0001442465871095	0.0002495952181445	0.0001102108755443	0.0002294286360322	0.0002558437705101	1.1151344266989962	41.0	0.0056450502547156	2444.0	13.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C09	28	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc4_4	333599.0	244717.0	0.7335663476209461	244131.0	0.997605397254788	0.1165841919295594	202266.0	0.8285141993437949	191896.0	0.9487308791393512	17085.0	10310.0	174811.0	0.910967399007796	17085.0	3618.0	4551.0	4259.0	2.565754906448486e-05	0.0002097225749618	4.908400690597104e-05	3.781813466829963e-05	3.989605415556884e-05	0.0002260776402148	0.0001733500360886	0.0001061088785923	0.000149252049009	0.0001373582366886	0.0002306657269174	0.0001329531620426	0.0002456106595701	0.0002364923344669	0.962874880434098	40.0	0.0038797284190106	3063.0	25.0
20220719_K562ActD3h00uM	20220719_K562ActD3h00uM.C10	29	Human	0	3.0	3.0	K562	K562		R10	K562	20	1	struct2	K562_Actd 3h_0UM_3h_sc4_5	215628.0	165735.0	0.7686153931771385	165541.0	0.9988294566627448	0.043431695486217	153622.0	0.9279997100416212	143446.0	0.9337594875733944	10960.0	6596.0	132486.0	0.9235949416505166	10960.0	2782.0	3490.0	3161.0	3.935978346727342e-05	0.0004157040144283	6.79360646147459e-05	4.973236619230585e-05	4.482052755602873e-05	0.000240066113348	0.0001714409236938	0.0001072222499356	0.0001301574905635	0.0001421154466676	0.000217832692843	0.0001124109885527	0.0002317057647274	0.0002236318086959	0.9651542720959104	38.0	0.0057610673135233	2296.0	18.0
