Run,Cell,CellLine,s4U,Time,Method,Layout,Strand,Species,Total.Reads,Trimmed.Reads,Trimmed.Reads.Ratio,RiboRNA.Ratio,Clean.Reads,UniqMapped.Reads,UniqMapped.Ratio,Filtered.Reads,Uniq.Reads,Uniq.Ratio,Stranded.Reads,Forward,Reverse,Stranded.Ratio,AC.Ratio,AG.Ratio,AT.Ratio,CA.Ratio,CG.Ratio,CT.Ratio,GA.Ratio,GC.Ratio,GT.Ratio,TA.Ratio,TC.Ratio,TG.Ratio,Protein_coding,Protein_coding.Nascent,lncRNA,lncRNA.Nascent,Pe,Pc,Pc_Pe
20220113_NASCseq_K562,20220113_02_02,K562,0,3.0,NASC-seq,PE,UN,Human,2725284,2695891,0.989214702027385,0.21410398269069486,2118690,1652727,0.7800702320773686,1403397,1029112,0.7333006982343556,995637,514485,481152,0.9674719564051337,0.0032729279723999,0.0004058269758692,0.0006910173717702,0.000700961731431,0.0002384960156799,0.000598080396528,0.0005060132121969,0.0003163489823808,0.0010275815964862,0.0008643094144288,0.0005501748817529,0.0037434391777185,5608,1123,406,40,0.000561657503668,0.0007134196366814,1.2702040514410446
20220113_NASCseq_K562,20220113_02_04,K562,0,3.0,NASC-seq,PE,UN,Human,2834906,2815249,0.993066084025361,0.131621749976645,2444701,1955902,0.8000577575744436,1850164,1292882,0.6987931880633285,1252624,641701,610923,0.9688618141485457,0.0021426152751033,0.0003678764656339,0.0004764975616971,0.0005953535521827,0.0001713801524319,0.0005897981738909,0.0004924963146721,0.0002372309631279,0.0008606444833514,0.0006172935547574,0.0004725679897625,0.0024815768017358,4280,955,238,34,0.0005353635386546,0.0005856420813883,1.0939147683833526
20220113_NASCseq_K562,20220113_02_05,K562,0,3.0,NASC-seq,PE,UN,Human,3669883,3649349,0.9944047262542157,0.11135492933123137,3242976,2607152,0.8039381111670268,2253539,1605406,0.7123932623309381,1560704,789782,770922,0.9721553301781606,0.0008493320842032,0.0003141557700793,0.0003305882598361,0.0005489467027923,0.0001334270405089,0.000514413735907,0.0004632916373955,0.0001915496018116,0.0007921827784008,0.0005117944357253,0.0004554168033371,0.001146689377684,4521,883,274,26,0.0004753803849784,0.0005780717066152,1.2160192655854052
20220113_NASCseq_K562,20220113_02_07,K562,0,3.0,NASC-seq,PE,UN,Human,1431122,1397430,0.976457632542858,0.1350042578161339,1208771,923619,0.7640975834132354,816021,659151,0.8077623002349205,634830,322272,312558,0.9631025364446083,0.0064809003410413,0.000561403436402,0.0014019307460113,0.001021760559192,0.000514600465909,0.0005977352416792,0.0005229198939114,0.0006364133798383,0.001454589110621,0.0016862268986914,0.0007767515386302,0.00712463087378,4631,1178,292,49,0.0006456077613806,0.0008075272479803,1.2508016419341
20220113_NASCseq_K562,20220113_02_08,K562,0,3.0,NASC-seq,PE,UN,Human,3314535,3296335,0.9945090336955259,0.11976118932086699,2901562,2457472,0.8469479542398198,2122363,1519690,0.7160367948366986,1458638,730270,728368,0.9598260171482342,0.0014252127135614,0.0003178339247959,0.0004468283985986,0.0006954256720549,0.000163441794727,0.0005088491689668,0.0004694346905912,0.0002409952514784,0.0010103147391381,0.0007281897506829,0.0005261476658902,0.0018491559894755,6672,1485,492,36,0.0004776960250316,0.0006690701247615,1.4006189913705946
20220113_NASCseq_K562,20220113_03_01,K562,0,3.0,NASC-seq,PE,UN,Human,3256647,3237014,0.9939714067874105,0.26034271090579153,2394281,1957838,0.817714378554564,1721517,1264209,0.7343575462804027,1203840,605887,597953,0.9522476109567326,0.0008225566770466,0.0003884735544802,0.0004037408764029,0.0006030366296455,0.0001479453717132,0.0006326257039881,0.0005805927124781,0.0002259621540117,0.0009676793818546,0.0006489237720647,0.0006192766104355,0.0012491431775707,6265,1388,426,38,0.0005894824350058,0.0007873235212313,1.3356182889885553
20220113_NASCseq_K562,20220113_03_02,K562,0,3.0,NASC-seq,PE,UN,Human,3487207,3466410,0.9940362014643811,0.2841181510554147,2481540,1820306,0.7335388508748599,1583760,1197591,0.7561694953780876,1131196,583982,547214,0.944559536603064,0.0007490687828006,0.0004012885435907,0.0004045645622262,0.0006115030645051,0.0001505225421193,0.0006301473021864,0.0005529028507793,0.000235529860131,0.0009685034284409,0.0006257997346161,0.0005768080635076,0.001136424772545,6694,1357,461,33,0.0005854789624111,0.0008043334363283,1.3738041637156966
20220113_NASCseq_K562,20220113_03_03,K562,0,3.0,NASC-seq,PE,UN,Human,4494188,4457885,0.9919222337828324,0.22866045220996056,3438543,2544037,0.739859004235224,2221431,1601611,0.7209816555184474,1522767,771561,751206,0.950772066375668,0.0006345273709773,0.0003740930194304,0.0003787106813884,0.0005650742441492,0.0001383494041374,0.0006223911652648,0.0005725371501753,0.00021915469187,0.0009258905338741,0.0006494033129002,0.0005974548438834,0.0010484309484038,6911,1553,418,42,0.0005763477355723,0.0007947738386502,1.3789831894821292
20220113_NASCseq_K562,20220113_03_05,K562,0,3.0,NASC-seq,PE,UN,Human,4061806,4033328,0.9929888330461868,0.29332799117750896,2850240,2304236,0.8084357808465252,2115261,1545486,0.7306360775336944,1435070,738850,696220,0.9285558070406331,0.0006490210460526,0.000434821026905,0.0004150190384676,0.0006380856376292,0.0001532625704314,0.000662630745049,0.0006019497020639,0.0002459360132748,0.0010280470491542,0.0006591941705444,0.0006351572773804,0.0010462760314531,6748,1353,489,52,0.0006293022318304,0.0007403682489391,1.1764907408411256
20220113_NASCseq_K562,20220113_03_06,K562,0,3.0,NASC-seq,PE,UN,Human,4247856,4224285,0.9944510830875622,0.2956043448772988,2975568,2108404,0.7085719432390724,1888003,1358562,0.7195761871141094,1268276,643231,625045,0.9335429667545537,0.0006431190713409,0.0004428789323526,0.0003771551574867,0.0005989906684166,0.0001478987702915,0.0006517069333254,0.0005517211029726,0.0002230952988403,0.0009224730622168,0.0005797824259399,0.0005534660605072,0.0010014583213904,5623,1158,386,47,0.0006124693182534,0.0008276426200703,1.351320948501478
