Run	Cell	CellLine	s4U	Time	Method	Layout	Strand	Species	Total.Reads	Trimmed.Reads	Trimmed.Reads.Ratio	RiboRNA.Ratio	Clean.Reads	UniqMapped.Reads	UniqMapped.Ratio	Filtered.Reads	Uniq.Reads	Uniq.Ratio	Stranded.Reads	Forward	Reverse	Stranded.Ratio	AC.Ratio	AG.Ratio	AT.Ratio	CA.Ratio	CG.Ratio	CT.Ratio	GA.Ratio	GC.Ratio	GT.Ratio	TA.Ratio	TC.Ratio	TG.Ratio	Genes.Protein_coding	Genes.Protein_coding.Nascent	Genes.lncRNA	Genes.lncRNA.Nascent	Pe	Pc	Pc_Pe
20220113_NASCseq_K562	20220113_02_02	K562	0	3.0	NASC-seq	PE	UN	Human	2725284	2695891	0.989214702027385	0.21410398269069486	2118690	1652727	0.7800702320773686	1403397	1029112	0.7333006982343556	995639	514485	481154	0.9674738998282014	0.003273081412884	0.0004058259747917	0.0006909275686457	0.000701049428255	0.0002384954574459	0.0005980611291301	0.0005060119852062	0.0003162657384391	0.0010276120955273	0.000864131839455	0.0005500458992137	0.0037433674813171	5608	1123	406	40	0.0005616221189469	0.0007132524458509	1.269986387267338
20220113_NASCseq_K562	20220113_02_04	K562	0	3.0	NASC-seq	PE	UN	Human	2834906	2815249	0.993066084025361	0.131621749976645	2444701	1955902	0.8000577575744436	1850164	1292882	0.6987931880633285	1252624	641701	610923	0.9688618141485457	0.002142672292966	0.0003679446368906	0.0004764521961465	0.000595392852227	0.0001713671055939	0.0005897721157354	0.0004925816774463	0.0002372309109886	0.0008605710333255	0.0006172812718077	0.0004724447385996	0.0024817865717054	4280	955	238	34	0.0005353936898631	0.0005854880581416	1.0935654813026157
20220113_NASCseq_K562	20220113_02_05	K562	0	3.0	NASC-seq	PE	UN	Human	3669883	3649349	0.9944047262542157	0.11135492933123137	3242976	2607152	0.8039381111670268	2253539	1605406	0.7123932623309381	1560703	789782	770921	0.9721547072827683	0.0008493239322811	0.0003141382597458	0.0003304907353933	0.0005490048475959	0.0001334386782351	0.0005144950444015	0.0004636119182502	0.0001916116747111	0.0007919770350807	0.0005119816167691	0.0004550532496086	0.001146808139838	4521	883	274	26	0.0004754874070838	0.000577609288944	1.214773052532534
20220113_NASCseq_K562	20220113_02_07	K562	0	3.0	NASC-seq	PE	UN	Human	1431122	1397430	0.976457632542858	0.1350042578161339	1208771	923619	0.7640975834132354	816021	659151	0.8077623002349205	634830	322272	312558	0.9631025364446083	0.00648085855551	0.0005614858917774	0.0014019512557726	0.0010217602747531	0.0005146256300367	0.0005978363048123	0.0005229662353489	0.0006363429056848	0.0014545647779917	0.0016859571913069	0.000776751207812	0.0071247175024763	4631	1178	292	49	0.0006456563788323	0.0008075276055134	1.2507080112394289
20220113_NASCseq_K562	20220113_02_08	K562	0	3.0	NASC-seq	PE	UN	Human	3314535	3296335	0.9945090336955259	0.11976118932086699	2901562	2457472	0.8469479542398198	2122363	1519690	0.7160367948366986	1458638	730271	728367	0.9598260171482342	0.0014253184844125	0.0003177370111174	0.0004468019771152	0.0006954373283874	0.0001633846377113	0.0005088264431583	0.0004694759538244	0.0002410055660111	0.0010102218755428	0.0007281035372513	0.0005260614233921	0.0018492905282444	6672	1485	492	36	0.0004776342340633	0.0006689625235473	1.4005749082439194
20220113_NASCseq_K562	20220113_03_01	K562	0	3.0	NASC-seq	PE	UN	Human	3256647	3237014	0.9939714067874105	0.26034271090579153	2394281	1957838	0.817714378554564	1721517	1264209	0.7343575462804027	1203840	605887	597953	0.9522476109567326	0.0008225453036809	0.0003885301156505	0.0004037295314769	0.0006030890594344	0.0001480241455735	0.0006325467968597	0.0005807666388131	0.0002260615589019	0.0009674430334443	0.000648912116985	0.0006189701283791	0.0012489075861807	6265	1388	426	38	0.0005895225110778	0.0007869340710996	1.3348668732953246
20220113_NASCseq_K562	20220113_03_02	K562	0	3.0	NASC-seq	PE	UN	Human	3487207	3466410	0.9940362014643811	0.2841181510554147	2481540	1820306	0.7335388508748599	1583760	1197591	0.7561694953780876	1131196	583980	547216	0.944559536603064	0.0007491163324654	0.0004011461460895	0.0004045408613748	0.0006115728674875	0.0001504946043718	0.0006301472757851	0.0005528105359923	0.0002355694485434	0.0009685694395201	0.000625800080915	0.0005767223029049	0.0011366221552166	6694	1357	461	33	0.0005853477511078	0.0008042133894124	1.3739070285831927
20220113_NASCseq_K562	20220113_03_03	K562	0	3.0	NASC-seq	PE	UN	Human	4494188	4457885	0.9919222337828324	0.22866045220996056	3438543	2544037	0.739859004235224	2221431	1601611	0.7209816555184474	1522767	771562	751205	0.950772066375668	0.0006344740994718	0.000374209033462	0.000378692980859	0.0005650850344854	0.000138308105035	0.0006223191870742	0.0005725661082518	0.0002191837218677	0.0009259097285018	0.0006493939091408	0.0005975877838138	0.0010483551673834	6911	1553	418	42	0.0005763700901266	0.000794949788227	1.3792349773950452
20220113_NASCseq_K562	20220113_03_05	K562	0	3.0	NASC-seq	PE	UN	Human	4061806	4033328	0.9929888330461868	0.29332799117750896	2850240	2304236	0.8084357808465252	2115261	1545486	0.7306360775336944	1435070	738853	696217	0.9285558070406331	0.0006489930324008	0.0004346794172629	0.0004150476357235	0.0006381845007853	0.0001532627657871	0.0006626315896697	0.0006019493558059	0.0002459358718056	0.0010279418709884	0.0006592132112967	0.0006351280418885	0.0010463142259555	6748	1354	489	52	0.0006292023473209	0.0007403339701853	1.176623026499504
20220113_NASCseq_K562	20220113_03_06	K562	0	3.0	NASC-seq	PE	UN	Human	4247856	4224285	0.9944510830875622	0.2956043448772988	2975568	2108404	0.7085719432390724	1888003	1358562	0.7195761871141094	1268277	643231	625046	0.9335437028269596	0.0006432347545472	0.0004430696804298	0.0003770690166511	0.000598912004205	0.0001479245181963	0.0006519006659289	0.0005517576072261	0.0002230828555883	0.000922558485495	0.0005797495368401	0.0005535757180998	0.0010013486808477	5623	1158	386	47	0.0006126051900784	0.0008278050405923	1.3512863651814562
