GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
l(2)gl	423	445	685	551	684	871
Ir21a	1	0	3	2	2	4
Cda5	111	92	190	177	243	303
dbr	72	72	97	114	133	159
galectin	132	155	245	179	240	276
CG11374	2	4	1	2	3	5
net	9	12	19	13	18	20
Zir	102	85	138	116	150	174
CG11377	59	73	107	94	138	159
Nhe1	98	98	164	133	169	198
Sam-S	597	581	954	877	1085	1210
CG13694	2	3	7	3	3	7
CG4822	266	295	434	343	473	512
CG3164	1574	1566	2443	2166	2975	3186
Gs1	322	331	504	534	683	702
ovm	6	5	10	12	19	21
CG31975	6	5	10	12	19	21
CG31974	132	154	221	167	250	275
CG11454	29	48	65	53	79	74
CG42399	11	16	26	20	20	25
CG3709	15	14	24	21	22	36
ND-15	201	207	326	269	349	419
CG3436	55	68	121	71	98	141
CG33635	15	14	20	17	26	32
spen	340	384	494	527	642	757
mRpL10	98	93	163	108	174	196
CG11617	27	26	25	32	35	46
Tbc1d15-17	77	67	143	121	161	173
kis	662	641	1002	910	1233	1370
CG13693	24	31	42	39	49	48
Rpp30	12	11	25	15	24	30
CG3645	28	42	59	56	64	77
CG17075	8	8	22	21	15	25
CG3345	102	116	135	159	200	194
mbm	49	48	50	64	74	101
CG11555	31	31	41	29	59	62
CG17078	54	59	93	84	90	117
smo	48	34	67	47	67	70
CG11601	47	55	82	70	103	115
CG3625	150	139	199	200	232	276
Amnionless	16	20	17	19	30	24
CG11562	74	75	114	112	145	158
U2af38	60	68	112	102	112	142
Stip1	364	339	569	519	611	719
Pi3K21B	150	146	215	197	273	291
Plc21C	183	176	286	267	315	375
CG11912	63	52	84	68	117	122
CG11911	11	9	12	12	14	15
CG33127	146	170	251	251	304	359
CG43755	170	175	277	246	300	358
CG31921	94	86	135	111	165	158
Ent1	135	124	233	198	237	280
al	0	3	4	3	4	5
CG4213	94	101	146	145	201	198
RpI135	49	32	47	45	63	74
AP-2alpha	273	258	409	355	453	510
ebi	123	100	156	163	171	208
CG13690	14	21	21	25	28	38
RpLP1	2014	2088	3057	2830	3518	4000
CG11885	18	34	42	28	35	49
CG13692	2	0	1	0	1	1
BBS8	1	1	1	0	1	3
ex	117	100	149	115	165	176
crq	327	310	495	451	606	680
shv	122	136	199	175	288	288
CG4133	11	15	15	27	20	31
CG4297	97	74	131	100	151	154
MED15	67	94	112	105	140	165
ush	44	38	66	82	88	107
cbt	153	168	283	252	297	354
lwr	125	133	221	184	275	296
Spp	321	349	483	461	575	623
Ets21C	17	32	53	32	50	50
nAChRbeta3	186	204	308	282	405	459
rempA	29	25	28	36	39	54
Tspo	334	353	531	524	647	758
CG11835	37	34	55	39	57	51
CG2794	78	66	91	105	123	153
Nle	43	35	56	66	78	81
Sf3b1	95	102	196	158	218	237
Ipk2	40	35	62	57	62	70
cold	34	38	87	58	72	77
Ptth	12	3	11	3	4	10
Pph13	4	12	22	18	24	25
Gsc	1	0	1	1	0	0
CG13689	3	3	4	2	3	5
lectin-21Cb	34	44	94	67	83	92
lectin-21Ca	6	14	15	11	14	19
CG2839	35	41	69	55	59	71
ds	19	16	19	25	30	32
Hsp60B	224	235	327	282	417	461
Eaat2	98	108	169	150	209	203
GABA-B-R3	16	11	17	13	21	19
CG12506	29	34	57	37	65	68
CG13946	0	0	0	1	0	0
CG13947	160	184	267	287	319	374
Gr21a	0	0	0	0	0	0
CG3544	35	28	66	62	69	64
